descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
Controle de frequência do SIN,Controle de frequência,SIN,,frequencia,confiabilidade/eletrica/energetica,sistemica,N/NE/S/SE,energetica,sistemica,26342.785,242,12,994330
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS RADIALIZADA - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade/eletrica/energetica,local/sistemica,NE/SE,confiabilidade,sistemica,3701.6231,209,6,150126
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / JAGUARUANA II – C1(V7) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Açu III / Jaguaruana II,500.0,local,confiabilidade,local,NE,confiabilidade,local,3331.0332,55,11,116678
Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste,Controle do fluxo,FNESE,,exportacao,confiabilidade/eletrica/energetica,sistemica,NE/SE,eletrica,sistemica,1522.3569,203,12,39613
"Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III / QUIXADÁ – C1(V2), AÇU III / MILAGRES II – C1(C2) E AÇU III / JAGUARUANA II – C1(V7) - IO-ON.NE.5NE",Limitação da transmissão,LTS 500 kV Açu III / Quixadá,500.0,local,confiabilidade/eletrica,local/sistemica,NE,confiabilidade,local,1481.7866,88,12,92332
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV JAGUARUANA II / PACATUBA – C1(L1) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Jaguaruana II / Pacatuba,500.0,local,confiabilidade,local,NE,confiabilidade,local,498.7697,70,9,24180
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 / ITABIRA 5 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - IO-ON.SE.3MG,Controle de inequação,LT 230 kV Itabira 4 / Itabira 5,230.0,local,confiabilidade,local/sistemica,N/NE/SE,confiabilidade,sistemica,482.5379,202,2,12715
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS NÃO RADIALIZADA - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,local/sistemica,NE/SE,confiabilidade,sistemica,475.3834,202,1,17361
Controle do fluxo: FNS_FNESE # Somatório de FNS+FNESE,Controle do fluxo,FNS+FNESE,,exportacao,confiabilidade/eletrica/energetica,sistemica,N/NE,confiabilidade,sistemica,418.0785,195,8,16484
Desligamento das LT 525 kV Povo Novo / Marmeleiro C2,outro,LT 525 kV Povo Novo / Marmeleiro C2,525.0,outro,eletrica,local,S,eletrica,local,253.6365,2,1,2428
Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITIDA PELOS BIPOLOS XINGU / ESTREITO E XINGU / TERMINAL RIO - IO-ON.SENE,Controle de inequação,Bipolos Xingu / Estreito e Xingu / Terminal Rio,,local,confiabilidade,sistemica,SE,confiabilidade,sistemica,193.6888,17,8,4080
Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITIDA PELOS BIPOLOS XINGU / ESTREITO E XINGU / TERMINAL RIO,Controle de inequação,Bipolos Xingu / Estreito e Xingu / Terminal Rio,,local,eletrica,sistemica,SE,eletrica,sistemica,176.0907,16,9,2647
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 / ITABIRA 5 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - IO-ON.SE.5MG,Controle de inequação,LT 230 kV Itabira 4 / Itabira 5,230.0,local,confiabilidade,local/sistemica,N/NE/SE,confiabilidade,sistemica,162.7928,203,2,3812
Controle do fluxo: FNEN # Fluxo Nordeste/Norte,Controle do fluxo,FNEN,,exportacao,confiabilidade/eletrica,sistemica,NE,eletrica,sistemica,143.0281,125,7,3759
Controle de inequação: Perda da LT 345 kV Campos / Rio Novo do Sul C1,Controle de inequação,LT 345 kV Campos / Rio Novo do Sul C1,345.0,local,eletrica,local/sistemica,NE/SE,eletrica,sistemica,136.9444,212,2,7657
Controle de inequação,Controle de inequação,,,outro,eletrica,local/sistemica,N/NE/SE,eletrica,local,129.1246,121,8,4533
Controle do fluxo: ON_OC_BP_XINGU<6_GW_FJUSC_FNESE # Redução do Limite FNESE em função do FJUSC para Bipolo Xingu < 6000 MW (ON) e > 1000 MW (OC 1,Controle do fluxo,FNESE,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,118.275,55,5,1802
"Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV IRECÊ / MORRO DO CHAPÉU II – C1(S5), PREVENINDO A PERDA DA LT 500 KV MORRO DO CHAPÉU II / OUROLÂNDIA II – C1(N4) - IO-ON.NE.2SO",Controle de inequação,LT 230 kV Irecê / Morro do Chapéu II,230.0,local,confiabilidade,local,NE,confiabilidade,local,117.8969,25,10,2734
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV BOM NOME / MILAGRES – C1(L1) PREVENINDO A PERDA DA LT 230 KV ABAIARA / MILAGRES – C1(L2) - IO-ON.NE.2NO,Controle de inequação,LT 230 kV Bom Nome / Milagres,230.0,local,confiabilidade,local,NE,confiabilidade,local,110.385,6,7,4703
Controle de inequação: LIMITAÇÃO DO FLUXO BAHIA SUDOESTE - IO-ON.NE.2SO,Limitação da transmissão,Fluxo Bahia Sudoeste,,local,confiabilidade,local,NE,confiabilidade,local,103.8965,19,3,6914
Controle do fluxo: FPOTPPA # LT 500kV Poções III/Padre Paraíso,Controle do fluxo,LT 500kV Poções III/Padre Paraíso,500.0,local,eletrica,sistemica,NE/SE,eletrica,sistemica,101.5449,106,3,1739
"Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III / QUIXADÁ – C1(V2), AÇU III / MILAGRES II – C1(C2) E AÇU III / JAGUARUANA II – C1(V7)",Limitação da transmissão,LTS 500 kV Açu III / Quixadá,500.0,local,eletrica,local,NE,eletrica,local,81.3842,41,7,3547
Controle de carregamento do TR 345/ 138 kV da SE Campos 2,Controle de inequação,TR 345/ 138 kV da SE Campos 2,345.0,local,eletrica,local/sistemica,NE/SE,eletrica,local,79.6955,205,1,6290
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,sistemica,NE,confiabilidade,sistemica,57.7814,185,1,3556
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO DA LT 500 KV CAMPINA GRANDE III / CEARÁ MIRIM II – C1(L2) OU C2(L3) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Campina Grande III / Ceará Mirim II,500.0,local,confiabilidade,local,NE,confiabilidade,local,51.2561,32,5,2677
Controle de inequação: LIMITAÇÃO DO FLUXO BAHIA SUDOESTE,Limitação da transmissão,Fluxo Bahia Sudoeste,,local,eletrica,local,NE,eletrica,local,41.1359,26,4,1748
"Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV BOM NOME / MILAGRES – C1(L1), PREVENINDO A PERDA DA LT 230 KV MAURITI II / MILAGRES – C1(L3) - IO-ON.NE.2NO",Controle de inequação,LT 230 kV Bom Nome / Milagres,230.0,local,confiabilidade,local,NE,confiabilidade,local,35.8202,6,3,2352
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO DA LT 500 KV BARREIRAS II / BURITIRAMA – C1(N6) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Barreiras II / Buritirama,500.0,local,confiabilidade,local,NE,confiabilidade,local,29.8631,8,5,217
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV JANAÚBA 3 / JAÍBA C1 E C2,Controle de inequação,LT 230 kV Janaúba 3 / Jaíba C1 e C2,230.0,local,eletrica,local,SE,eletrica,local,27.1527,4,2,902
Controle de inequação: CONTROLE DE CARREGAMENTO DAS LT 500 KV SOBRADINHO / SÃO JOÃO DO PIAUÍ - C1(C5) E C2(C2) - IO-ON.NE.5NE,Controle de inequação,LT 500 kV Sobradinho / São João do Piauí,500.0,local,confiabilidade,local,NE,confiabilidade,local,25.2592,7,5,600
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / MILAGRES II – C1(C2) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Açu III / Milagres II,500.0,local,confiabilidade,local,NE,confiabilidade,local,22.535,20,5,889
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO DA LT 500 KV CAMPINA GRANDE III / CEARÁ MIRIM II – C1(L2) OU C2(L3),Limitação da transmissão,LT 500 kV Campina Grande III / Ceará Mirim II,500.0,local,eletrica,local,NE,eletrica,local,20.9864,61,2,684
Controle de inequação: CONTROLE DE CARREGAMENTO DO TRANSFORMADOR 230 / 69 KV – 50 MVA – T1 DA SE BOM JESUS DA LAPA - IO-ON.NE.2SO,Controle de inequação,Transformador 230 / 69 kV – 50 Mva – T1 da SE Bom Jesus da Lapa,230.0,local,confiabilidade/eletrica,local,NE,confiabilidade,local,20.1335,4,12,4480
Controle de inequação: CONTROLE DE CARREGAMENTO DAS LT 500 KV COLINAS / RIBEIRO GONÇALVES C1 E C2 PARA CONTINGÊNCIA DE UM DOS CIRCUITOS DESSA LT - IO-ON.NNE,Controle de inequação,LT 500 kV Colinas / Ribeiro Gonçalves C1 e C2,500.0,local,confiabilidade/energetica,sistemica,NE,confiabilidade,sistemica,18.4402,14,3,464
Controle de inequação: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,15.212,3,1,88
Controle de inequação: F(LT 230 JAI-JAN C1 + 2) < 680 MW,Controle de inequação,LT 230 Jai-jan C1 + 2) < 680 MW,,local,eletrica,local,SE,eletrica,local,14.2426,4,2,509
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 345 KV JAGUARA / LUIZ CARLOS BARRETO PARA CONTINGÊNCIA DA LT 500 KV JAGUARA / ESTREITO - IO-ON.SE.3RG,Controle de inequação,LT 345 kV Jaguara / Luiz Carlos Barreto,345.0,local,confiabilidade,local,SE,confiabilidade,local,13.4808,12,2,208
Controle de inequação: LIMITAÇÃO DO FLUXO SENHOR DO BONFIM II - IO-ON.NE.2SO,Limitação da transmissão,Fluxo Senhor do Bonfim II,,local,confiabilidade,local,NE,confiabilidade,local,12.3426,2,3,1513
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV AÇU III / MOSSORÓ II – C1(Z7) PARA CONTINGÊNCIA DA LT 500 KV AÇU III / JAGUARUANA II – C1(V7) - IO-ON.NE.2LE,Controle de inequação,LT 230 kV Açu III / Mossoró II,230.0,local,confiabilidade,local,NE,confiabilidade,local,11.8512,20,5,990
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 345KV JAGUARA/LUIZ CARLOS BARRETO PARA CONTINGÊNCIA DA LT 500KV JAGUARA/ESTREITO,Controle de inequação,LT 345kV Jaguara/luiz Carlos Barreto,345.0,local,confiabilidade,local,SE,confiabilidade,local,9.762,12,1,96
Controle de inequação: SUB CURRAL NOVO DO PIAUI II PI - SB 500 kV CURRAL PIAUI II B1 PI (05B1),Controle de inequação,Sub Curral Novo do Piaui II PI - SB 500 kV Curral Piaui II B1 PI (05B1),500.0,local,eletrica,local,NE,eletrica,local,9.6426,7,1,99
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABAIANA / ITABAIANINHA – C1(C3),Controle de inequação,LT 230 kV Itabaiana / Itabaianinha,230.0,local,eletrica,local,NE,eletrica,local,9.3667,74,1,449
Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITIDA PELOS BIPOLOS XINGU / ESTREITO E XINGU / TERMINAL RIO - Nº,Controle de inequação,Bipolos Xingu / Estreito e Xingu / Terminal Rio - Nº,,local,eletrica,sistemica,SE,eletrica,sistemica,9.1044,9,1,108
Controle de inequação: CS2 DA SE JANAUBA 3,Controle de inequação,SE Janauba 3,,local,eletrica,local,SE,eletrica,local,8.3116,4,1,219
"Controle de inequação: CONTROLE DE CARREGAMENTO DO TRANSFORMADOR 230 / 138 KV – 55 MVA – T4, T5 OU T8 DA SE IRECÊ - IO-ON.NE.2SO",Controle de inequação,Transformador 230 / 138 kV – 55 Mva – T4,230.0,local,confiabilidade,local,NE,confiabilidade,local,8.1132,1,9,967
Controle da Inequação: [,Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,7.8506,3,1,171
Controle de inequação: F(MCP-SPU) < 1300 MW,Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,7.5872,7,1,231
Controle do fluxo: ON_OC_BP_XINGU<6_GW_FJUSC_FNS+FNESE # Redução do Limite FNS+FNESE em função do FJUSC para Bipolo Xingu < 6000 MW (ON) e > 1000 M,Controle do fluxo,FNESE,,exportacao,confiabilidade/eletrica,sistemica,NE,confiabilidade,sistemica,7.02,57,3,187
Controle de inequação: SGI: 22113-26 - LT 500 kV JAGUARUANA II / ACU III C V7 CE/RN (05V7),Controle de inequação,LT 500 kV Jaguaruana II / Acu III C V7 CE/RN (05V7),500.0,local,eletrica,local,NE,eletrica,local,7.0007,21,1,176
"Controle de inequação: F(JAL-VOT C1) + 0,62 * F(JAL-VOT C2) < 108 MW",Controle de inequação,,,outro,eletrica,local/sistemica,SE,eletrica,local,6.6773,1,2,363
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV IRECÊ / MORRO DO CHAPÉU II – C1(S5) - IO-ON.NE.2SO,Controle de inequação,LT 230 kV Irecê / Morro do Chapéu II,230.0,local,confiabilidade,local,NE,confiabilidade,local,6.5741,3,8,319
Controle de Inequação: Conjuntos Fotovoltaicos Jaíba 4 DIST + Conjunto Fotovoltaico Jaíba 138 kV + Conjunto Fotovoltaico Jaíba V + Conjunto Fotovoltaico Sol do Cerrado < 200 MW,Controle de inequação,,138.0,outro,eletrica,local/sistemica,SE,eletrica,local,6.4271,4,1,96
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL PARA A PERDA DUPLA DA LT 345 KV VIANA / VIANA 2 C1 E C2 OU DA LT 500 KV MUTUM / VIANA 2 - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,sistemica,NE,confiabilidade,sistemica,6.3463,185,1,555
Controle de inequação: LIMITAÇÃO DA GERAÇÃO: Conjunto Fotovoltaico Jaíba 138 kV + Conjunto Fotovoltaico Jaíba V + Conjunto Fotovoltaico Sol do Cerrado < 200 MW,Controle de inequação,,138.0,outro,eletrica,sistemica,SE,eletrica,sistemica,5.8814,4,1,110
Controle de geração: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800 MW,outro,,500.0,outro,eletrica,local/sistemica,SE,eletrica,local,5.7814,4,1,53
Controle de Inequação: Conjunto Fotovoltaico Arinos 2 500 kV < 360 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,5.6434,1,1,19
Controle de inequação: Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 360 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,5.5573,1,1,17
Controle de inequação: Limites de geração dos conjuntos fotovoltaicos,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,5.5486,4,1,35
Controle de inequação: LIMITAÇÃO DO FLUXO BAHIA SUDOESTE - IO-ON.NE.5NE,Limitação da transmissão,Fluxo Bahia Sudoeste,,local,confiabilidade,local,NE,confiabilidade,local,5.52,23,2,232
"Controle dos fluxos de potência ativa nos TR1, 2, 3 e 4 de 500/230 kV da SE Curral Novo do Piauí II",Controle do fluxo,"Controle dos fluxos de potência ativa nos TR1, 2, 3 e 4 de 500/230 kV da SE Curral Novo do Piauí II",500.0,local,eletrica,local,NE,eletrica,local,5.4787,7,1,70
Controle de inequação: Conjunto Fotovoltaico Arinos 2 500 kV < 360 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,5.266,1,1,16
Controle de inequação F(TR-CNP) + F(CHP2-PIC-P1) < 300 MW,Controle de inequação,TR -CNP) + F(CHP2-PIC-P1) < 300 MW,,local,eletrica,local,NE,eletrica,local,5.2184,4,1,36
Controle de Inequação: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,5.0712,3,1,47
Controle de geração para Conjunto Fotovoltaico Arinos 2 500 kV,outro,,500.0,outro,eletrica,local,SE,eletrica,local,5.0169,1,1,17
Controle de geração para Conjunto Fotovoltaico Janauba,outro,,,outro,eletrica,local/sistemica,SE,eletrica,local,4.7717,1,1,24
CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS RADIALIZADA - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,local/sistemica,SE,confiabilidade,sistemica,4.6918,8,1,60
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 230/138 KV DA SE JAÍBA PARA A CONTINGÊNCIA DE UM TRANSFORMADOR 230/138 KV DA SE JAÍBA - IO-ON.SE.3MG,Controle de inequação,Transformação 230/138 kV da SE Jaíba,230.0,local,confiabilidade,local,SE,confiabilidade,local,4.5351,3,4,399
Controle de inequação: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 700 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,4.504,3,1,84
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / JAGUARUANA II – C1(V7),Limitação da transmissão,LT 500 kV Açu III / Jaguaruana II,500.0,local,eletrica,local,NE,eletrica,local,4.3532,33,1,132
Controle do fluxo: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800 MW,Controle do fluxo,Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800 MW,500.0,local,eletrica,local,SE,eletrica,local,4.3254,3,1,31
Controle do fluxo: Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 360 MW,Controle do fluxo,Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 360 MW,500.0,local,eletrica,local,SE,eletrica,local,4.2275,1,1,23
"Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV MAURITI II / MILAGRES – C1(L3), PREVENINDO A PERDA DA LT 230 KV ABAIARA / MILAGRES – C1(L2) - IO-ON.NE.2NO",Controle de inequação,LT 230 kV Mauriti II / Milagres,230.0,local,confiabilidade,local,NE,confiabilidade,local,4.0946,9,7,609
Controle da inequação: Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 360 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,3.8901,1,1,20
Controle de inequação: Conjunto Fotovoltaico Janaúba < 600 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,3.7821,1,1,16
Controle de inequação: LIMITAÇÃO DA GERAÇÃO: Conjunto Fotovoltaico Janaúba + Conjunto Fotovoltaico Vista Alegre + Conjunto Eólico Serra das Almas II 500kV < 800,Controle de inequação,,500.0,outro,eletrica,sistemica,SE,eletrica,sistemica,3.7377,3,1,48
Controle do FNESE,Controle do fluxo,FNESE,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,3.0117,58,1,460
Controle de geração para Conjunto Fotovoltaico Vista Alegre-Janauba,outro,,,outro,eletrica,local/sistemica,SE,eletrica,local,2.9093,1,1,24
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE NEVES 1 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - IO-ON.SE.5MG,Controle de inequação,Transformação 500/345 kV da SE Neves 1,500.0,local,confiabilidade,local,SE,confiabilidade,local,2.8751,7,1,35
Controle de inequação: TRANSFORMAÇÃO 138/230 KV 04T4/04T5/04T6 BOM NOME - IO-ON.NE.2NO,Controle de inequação,Transformação 138/230 kV 04T4/04T5/04T6 Bom Nome,138.0,local,confiabilidade,local,NE,confiabilidade,local,2.5828,3,5,503
Controle do fluxo: FNEN # Fluxo Nordeste/Sudeste,Controle do fluxo,FNEN,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,2.4932,20,1,66
Controle de inequação: Ambas - LT 230 kV CRATO II / TAUA II C M7 CE (04M7),Controle de inequação,LT 230 kV Crato II / Taua II C M7 CE (04M7),230.0,local,eletrica,local,NE,eletrica,local,2.4502,3,1,126
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV PAULO AFONSO / TACARATU – C1(F1) - IO-ON.NE.2NO,Controle de inequação,LT 230 kV Paulo Afonso / Tacaratu,230.0,local,confiabilidade,local,NE,confiabilidade,local,2.3889,7,4,261
Controle de inequação: Conjunto Fotovoltaico Arinos 2 500 kV < 350 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,2.3171,1,1,29
Controle da inequação: Conjunto Fotovoltaico Janaúba + Conjunto Eólico Serra das Almas II 500kV + Conjunto Fotovoltaico Vista Alegre < 300 MW,Controle de inequação,,500.0,outro,eletrica,local/sistemica,SE,eletrica,sistemica,2.2801,3,1,34
Controle de inequação: Conjunto Fotovoltaico Arinos 2 500 kV < 300 MW,Controle de inequação,,500.0,outro,eletrica,local,SE,eletrica,local,2.0875,1,1,8
Controle de inequação: CONTROLE DA TRANSFORMAÇÃO (2 x 300MVA) 440/138 KV DA SE MARECHAL RONDON,Controle de inequação,Transformação (2 x 300MVA) 440/138 kV da SE Marechal Rondon,440.0,local,eletrica,local,SE,eletrica,local,2.0398,4,1,71
Controle do fluxo: FNESE_FJUSC_2.7*(FJUSC-K) # Redução do Limite FNESE em função do FJUSC para Bipolo Xingu < 5000 MW e FNXG > 0 MW,Controle do fluxo,FNESE,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,2.0186,30,1,30
