descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
"Desligamento do Conjunto Eólico Carnaúbas para possibilitar o agente AXIA NORDESTE realizar a manutenção do TR 230 / 69 kV TOUROS T1 RN (04T1) da SE Touros 69kV, conforme o",outro,TR 230 / 69 kV Touros T1 RN (04T1) da SE Touros 69kV,230.0,outro,eletrica,local,NE,eletrica,local,0.4331,1,1,16
Controle dE Inequação: 50 MW <= Conjunto Fotovoltaico Barro Alto <= 150 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.429,1,1,8
CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 230/138 KV DA SE JAÍBA,Controle de inequação,Transformação 230/138 kV da SE Jaíba,230.0,local,confiabilidade,local,SE,confiabilidade,local,0.4258,3,1,17
Controle da inequação: Conjunto Fotovoltaico Jaíba V + Conjunto Fotovoltaico Sol do Cerrado < 250 MW,Controle de inequação,,,outro,eletrica,sistemica,SE,eletrica,sistemica,0.4207,2,1,20
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV CHAPADA I / CURRAL NOVO DO PIAUÍ II – C1(L3) PARA CONTINGÊNCIA DA LT 230 KV CHAPADA III / CURRAL NOVO DO PIAUÍ II- C1(L2) - IO-ON.NE.2OE,Controle de inequação,LT 230 kV Chapada I / Curral Novo do Piauí II,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.4025,1,2,17
Redução dos limites de FACT,outro,,,outro,eletrica,local,NE,eletrica,local,0.3911,8,1,16
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV PARAÍSO / LAGOA NOVA II – C2(L8) PARA CONTINGÊNCIA DA LT 230 KV PARAÍSO / LAGOA NOVA II – C1(L7) - IO-ON.NE.2LE,Controle de inequação,LT 230 kV Paraíso / Lagoa Nova II,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.39,5,2,56
Atendimento a inequação: Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 1200 MW,outro,,500.0,outro,eletrica,local,SE,eletrica,local,0.3231,2,1,14
"Controle de inequação: CONTROLE DE CARREGAMENTO DO TRANSFORMADOR 230 / 138 KV – 55 MVA – T4, T5 OU T8 DA SE IRECÊ",Controle de inequação,Transformador 230 / 138 kV – 55 Mva – T4,230.0,local,eletrica,local,NE,eletrica,local,0.3097,1,2,22
Controle de inequação: CONTROLE DE CARREGAMENTO DOS TRANSFORMADORES 230/138 KV DA SE BOM NOME - IO-ON.NE.2NO,Controle de inequação,Transformadores 230/138 kV da SE Bom Nome,230.0,local,confiabilidade,local,NE,confiabilidade,local,0.3019,3,3,76
Controle de Inequação: Conjunto Fotovoltaico Vista Alegre < 450 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.2993,1,1,7
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 / ITABIRA 5 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1,Controle de inequação,LT 230 kV Itabira 4 / Itabira 5,230.0,local,eletrica,local,SE,eletrica,local,0.2967,7,1,13
Limitação de geração: Conjunto Fotovoltaico Janaúba < 750 MW e Conjunto Fotovoltaico Vista Alegre < 750 MW,outro,,,outro,eletrica,local,SE,eletrica,local,0.2934,2,1,4
Controle de inequação: F(TR1 JBA3) + 0.75*(F(TR2 JBA3)+F(TR5 JBA3) +F(TR6 JBA3)) <= 411 MW,Controle de inequação,,,outro,eletrica,local,SE,eletrica,local,0.2918,4,1,21
Desligamento automático da LT 500kV Barreiras II / Buritirama (05N6),outro,LT 500kV Barreiras II / Buritirama (05N6),500.0,outro,eletrica,local,NE,eletrica,local,0.2906,1,1,2
Controle do fluxo: RGV_CO # LT 500kV Ribeiro Gonçalves/Colinas,Controle do fluxo,LT 500kV Ribeiro Gonçalves/Colinas,500.0,local,confiabilidade,sistemica,NE,confiabilidade,sistemica,0.2609,1,1,4
