mes,pct_ons,fonte_documento
2024-07,11.8,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-08,14.3,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-09,16.5,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-10,9.9,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-11,8.8,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2024-12,9.8,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-01,10.1,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-02,25.8,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-03,12.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-04,10.3,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-05,17.2,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-06,16.8,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-07,20.4,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-08,24.7,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2025-09,26.0,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
